SMILES	LogS
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cncc3Cl)C(=O)O)cc2)n1	2.87
C(=NNc1ccc2ccccc2n1)c1ccc2c(c1)OCCO2	5.105
N/C(=N\NS(=O)(=O)c1ccccc1C(F)(F)F)c1ccccn1	4.141
O=C(CCNC(=O)c1ccccc1)Nc1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1	4.179
C=CCOn1c(=O)c(-c2ccc(F)cc2)[n+]([O-])c2ccccc21	5.194
O=C(CSc1nnc(-c2ccccn2)o1)Nc1cccc(Cl)c1	4.35
COc1cc(C=NNC(=O)c2cccc([N+](=O)[O-])c2)ccc1O	4.706
NC(=O)CSc1nnc(-c2cccs2)n1Cc1ccco1	3.854
CCC1NC(=O)c2ccccc2N1c1cccc(Cl)c1	3.983
CCOC1=CC(C(F)(F)F)=CN/C1=C(/N)N=O	3.83
O=C(Nc1ccccc1)c1c2c(nc3ccccc13)CCCC2	5.782
COC(=O)CCC(=O)NN1C(=O)c2ccccc2C1=O	3.924
Cc1ccc(F)c(N/C=C2/C(=O)Oc3ccccc3C2=O)c1	5.218
C[NH+]1CCN(C(=S)c2cn(Cc3cccc(F)c3)c3ccccc23)CC1	4.119
CC(=O)Nc1ccc(-c2csc(NC(=O)CCNC(=O)c3ccco3)n2)cc1	4.532
O=C(Nc1ccccc1C(F)(F)F)c1ccccc1Br	3.937
Oc1ccc(C(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1	5.408
O=C(NN=C1CCS(=O)(=O)c2ccc(F)cc21)c1cccnc1	3.944
Cc1ccc(NC(=O)C2Cc3ccccc3O/C2=N\O)cc1C	4.912
CC1=Nc2ccccc2/C1=C/NNC(=O)Nc1ccccc1	5.211
CC(C)Oc1ccc(C=C(C#N)C(=O)NC2CC2)cc1	4.305
Cc1ccc(C(=O)/C=C/c2ccc3ncccc3c2)cc1	5.437
O=C(COC(=O)C=Cc1cccc(Br)c1)NC1CCCC1	4.934
CC(=NNc1cc(N2CCOCC2)ncn1)c1ccccc1	3.842
N#Cc1ccccc1COc1cccc2c1CCCC2O	5.124
